user_text,wikiproject,cos_sim,pos
D.Lazard,mathematics,0.2122006198929276,15
Rschwieb,mathematics,0.21003290494815921,16
Randomguess,mathematics,0.20293209876543211,17
Wcherowi,mathematics,0.2027617756692647,18
Tsirel,mathematics,0.20207298269659074,19
Maimonid,mathematics,0.20053578262533486,20
In Vitro Infidelium,medicine,0.31251097048362514,1
Drcamachoent,medicine,0.30299685654618791,2
Aaronabend,medicine,0.30223486575341368,3
Matthew Ferguson 57,medicine,0.25788746189265815,4
Euroarti,medicine,0.25018387774173256,5
Lucas138,medicine,0.23521871679985221,6
AlphaAntares,medicine,0.22218911830672189,7
Little pob,medicine,0.21438381969144071,8
Ongmianli,medicine,0.21196335363560176,9
Mxdlvn,medicine,0.20189652106014772,10
Wouterstomp,medicine,0.19975852253088525,11
Helaine (Wiki Ed),medicine,0.19921885024199218,12
HeartBD2K Jspolson,medicine,0.19879425724051919,13
HeartBD2K aogarlid,medicine,0.19185841642306145,14
Heartbd2k DavidLiem,medicine,0.18784602390080704,15
TylerDurden8823,medicine,0.1860803424064727,16
Diptanshu.D,medicine,0.18327890475589245,17
Spicherc,medicine,0.18194746959355024,18
WholeNewJourney,medicine,0.18188136290212781,19
Bakerstmd,medicine,0.1816964871446094,20
Daamoy,military history,0.26772900480031669,1
Queenwe,military history,0.25794635739937166,2
Huddo14,military history,0.24308213907624709,3
Vegamala,military history,0.23586080148890357,4
Imachrischan,military history,0.2292419979216811,5
Carolyn.monaco,military history,0.2292020722774189,6
Jonathankwanhc,military history,0.2273387317416905,7
LuLuDrops,military history,0.22533425745847765,8
Bibliomachus,military history,0.22457650463670509,9
Humanrights4nz,military history,0.22455404528157419,10
Nblund,military history,0.22322957391003115,11
Tangotopaz,military history,0.22321010689907805,12
Goldenflashes21,military history,0.21886707867687083,13
Tab1975,military history,0.21800385491906449,14
AlexMota300,military history,0.21772786572640129,15
Chase1493,military history,0.21606083550120264,16
Wilbur99,military history,0.21597686851305703,17
JanPodany,military history,0.21044961373378196,18
Yorksa10,military history,0.210426797861554,19
MFCMFC,military history,0.20611184049014269,20
Drangmeistername,national football league,0.47865238317031517,1
Tomahawk1221,national football league,0.37441272774196011,2
Gijimu,national football league,0.36260633077832782,3
Meowmeow99,national football league,0.35949735821716028,4
Bsuwogltfam,national football league,0.34569601549256879,5
Ldairlds8,national football league,0.34037498483605422,6
JohnRainbird,national football league,0.33858228734034634,7
Meleemaster428,national football league,0.33850036238271819,8
Grandtheftauto1988,national football league,0.33701047576652249,9
XdeLaTorre,national football league,0.33284947072612953,10
Thefro552,national football league,0.33212011894424376,11
The infamousx,national football league,0.32028488590940074,12
Omallepj,national football league,0.31910158878021011,13
Rymax23,national football league,0.31775439331487587,14
Sparrowhawk8,national football league,0.317197235465054,15
Erik255,national football league,0.31295911782191643,16
Maurithus,national football league,0.31168204473548256,17
DawnBTVS,national football league,0.30846469726867726,18
Gnusny,national football league,0.30650620080638707,19
Frankm.russo,national football league,0.30365574890663033,20
Wheres.dot,national register of historic places,0.29601843482874673,1
Tortajtartej,national register of historic places,0.29601843482874673,2
Narspur,national register of historic places,0.29601843482874673,3
Hebue,national register of historic places,0.29286399309550815,4
Fabiorivavaldobbia,national register of historic places,0.27103398918890859,5
Janwillemvanaalst,national register of historic places,0.26644322578687685,6
Bytfisch,national register of historic places,0.26521385792938595,7
Airelor,national register of historic places,0.26236718406851889,8
Jimmarsmars,national register of historic places,0.26129459822225787,9
Pitambar Bhattarai,national register of historic places,0.259460245457953,10
Jahnjahnafricano,national register of historic places,0.25910743519432516,11
Carl the not so great,national register of historic places,0.25615012923138186,12
Pampuco,national register of historic places,0.25574908878000585,13
Nicu farcas,national register of historic places,0.25338801107976644,14
Parper,national register of historic places,0.25316747261018613,15
Johnnyf1nn,national register of historic places,0.25196944905835295,16
ILoveKorea,national register of historic places,0.24824643624490583,17
Janitoalevic,national register of historic places,0.24759821001210527,18
Francisdianish,national register of historic places,0.24719845797431869,19
Imthi nadubail,national register of historic places,0.24583410156984437,20
Daamoy,oregon,0.23422746118931534,1
Huddo14,oregon,0.23314799957360144,2
MFCMFC,oregon,0.23152880715003057,3
Narspur,oregon,0.22883015311074581,4
Wheres.dot,oregon,0.22883015311074581,5
Tortajtartej,oregon,0.22883015311074581,6
Queenwe,oregon,0.22844302810303138,7
Hebue,oregon,0.22676473833528765,8
Carl the not so great,oregon,0.22405913970597832,9
Coal town guy,oregon,0.22229476100468945,10
Tab1975,oregon,0.22145224573365563,11
Chillin662,oregon,0.2192585951769242,12
Jonathankwanhc,oregon,0.21697049961663931,13
Bibliomachus,oregon,0.21652631047425619,14
Jacky Chi Wo Kwong,oregon,0.21597968675735918,15
Airelor,oregon,0.21548664030303646,16
Pitambar Bhattarai,oregon,0.2144795420751307,17
Tangotopaz,oregon,0.21399583377036646,18
